FID,RiverMile,Name,RMNum,DryPer,Latitude,Longitude
263,MILE 242, ,242,0,35.7186911,-106.2784366
264,MILE 241, ,241,0,35.71171039,-106.2923435
265,MILE 240, ,240,0,35.69845131,-106.2913241
266,MILE 239, ,239,0,35.68874125,-106.3038113
267,MILE 238, ,238,0,35.68097893,-106.3164544
268,MILE 237, ,237,0,35.67295589,-106.305067
269,MILE 236, ,236,0,35.66214338,-106.3033979
270,MILE 235, ,235,0,35.64978637,-106.3111562
271,MILE 234, ,234,0,35.63707704,-106.3171684
272,MILE 233, ,233,0,35.62284702,-106.3178735
273,MILE 26, ,26,0,33.15305605,-107.2020096
274,MILE 25, ,25,0,33.14578814,-107.2132061
275,MILE 24, ,24,0,33.14253861,-107.2239374
276,MILE 23, ,23,0,33.12958048,-107.2310083
277,MILE 22, ,22,0,33.12862127,-107.248092
278,MILE 21, ,21,0,33.11710688,-107.256072
279,MILE 20, ,20,0,33.11344347,-107.2727362
280,MILE 19, ,19,0,33.11409956,-107.2901124
281,MILE 18, ,18,0,33.10441153,-107.2947647
282,MILE 17, ,17,0,33.10174308,-107.2804201
283,MILE 16, ,16,0,33.08937469,-107.2834837
284,MILE 15, ,15,0,33.07949576,-107.2929366
285,MILE 14, ,14,0,33.07410616,-107.2787962
286,MILE 13, ,13,0,33.06207193,-107.276513
287,MILE 12, ,12,0,33.0495783,-107.2767383
288,MILE 11, ,11,0,33.03814446,-107.2778117
289,MILE 10, ,10,0,33.02824006,-107.2713643
290,MILE 9, ,9,0,33.01984908,-107.2688829
291,MILE 8, ,8,0,33.006644,-107.275641
292,MILE 7, ,7,0,32.99469599,-107.2809683
293,MILE 6, ,6,0,32.98136081,-107.2846777
294,MILE 5, ,5,0,32.96913202,-107.2932264
295,MILE 4, ,4,0,32.95472175,-107.2953886
296,MILE 3, ,3,0,32.94002019,-107.2952373
297,MILE 2, ,2,0,32.92532458,-107.2977956
298,MILE 1, ,1,0,32.9105271,-107.2977344
299,MILE 0, ,0,0,32.89636437,-107.2933168
