"Year","RM","Sum_days_rm_dry"
2012,101,25
2012,102,21
2012,103,19
2012,104,17
2012,105,10
2012,106,0
2012,107,0
2012,108,0
2012,109,0
2012,110,0
2012,111,0
2012,112,0
2012,113,0
2012,114,0
2012,115,0
2012,116,0
2012,117,0
2012,118,0
2012,119,0
2012,120,0
2012,121,0
2012,122,0
2012,123,0
2012,124,0
2012,125,0
2012,126,0
2012,127,0
2012,128,0
2012,129,0
2012,130,0
2012,131,0
2012,132,32
2012,133,89
2012,134,89
2012,135,85
2012,136,77
2012,137,62
2012,138,22
2012,139,0
2012,140,0
2012,141,0
2012,142,0
2012,143,0
2012,144,0
2012,145,0
2012,146,0
2012,147,0
2012,148,0
2012,149,0
2012,150,0
2012,151,70
2012,152,105
2012,153,108
2012,154,105
2012,155,104
2012,156,103
2012,157,102
2012,158,101
2012,159,98
2012,160,97
2012,161,97
2012,162,95
2012,163,89
2012,164,77
2012,165,46
2012,166,29
2012,167,25
2013,54,0
2013,55,0
2013,56,0
2013,57,0
2013,58,0
2013,59,0
2013,60,0
2013,61,0
2013,62,0
2013,63,0
2013,64,0
2013,65,0
2013,66,0
2013,67,0
2013,68,0
2013,69,0
2013,70,0
2013,71,0
2013,72,0
2013,73,0
2013,74,52
2013,75,52
2013,76,52
2013,77,52
2013,78,51
2013,79,50
2013,80,50
2013,81,50
2013,82,49
2013,83,49
2013,84,46
2013,85,43
2013,86,41
2013,87,39
2013,88,36
2013,89,34
2013,90,31
2013,91,30
2013,92,28
2013,93,27
2013,94,24
2013,95,18
2013,96,17
2013,97,15
2013,98,9
2013,99,2
2013,100,0
2013,101,0
2013,102,0
2013,103,0
2013,104,0
2013,105,0
2013,106,0
2013,107,0
2013,108,0
2013,109,0
2013,110,0
2013,111,0
2013,112,0
2013,113,0
2013,114,0
2013,115,0
2013,116,0
2013,117,0
2013,118,0
2013,119,0
2013,120,0
2013,121,0
2013,122,0
2013,123,0
2013,124,0
2013,125,0
2013,126,0
2013,127,0
2013,128,0
2013,129,0
2013,130,0
2013,131,0
2013,132,0
2013,133,23
2013,134,18
2013,135,12
2013,136,1
2013,137,1
2013,138,1
2013,139,1
2013,140,1
2013,141,1
2013,142,1
2013,143,1
2013,144,1
2013,145,1
2013,146,1
2013,147,1
2013,148,1
2013,149,1
2013,150,1
2013,151,7
2013,152,34
2013,153,38
2013,154,37
2013,155,35
2013,156,30
2013,157,21
2013,158,10
2013,159,0
2013,160,0
2013,161,0
2013,162,0
2013,163,0
2013,164,0
2013,165,0
2013,166,0
2013,167,0
2014,54,0
2014,55,0
2014,56,0
2014,57,0
2014,58,0
2014,59,0
2014,60,0
2014,61,0
2014,62,0
2014,63,0
2014,64,0
2014,65,0
2014,66,0
2014,67,0
2014,68,0
2014,69,0
2014,70,0
2014,71,0
2014,72,0
2014,73,0
2014,74,40
2014,75,39
2014,76,38
2014,77,35
2014,78,35
2014,79,34
2014,80,32
2014,81,30
2014,82,30
2014,83,29
2014,84,30
2014,85,28
2014,86,27
2014,87,23
2014,88,22
2014,89,19
2014,90,16
2014,91,14
2014,92,12
2014,93,11
2014,94,5
2014,95,3
2014,96,0
2014,97,0
2014,98,0
2014,99,0
2014,100,0
2014,101,0
2014,102,0
2014,103,0
2014,104,0
2014,105,0
2014,106,0
2014,107,0
2014,108,0
2014,109,0
2014,110,0
2014,111,0
2014,112,0
2014,113,0
2014,114,0
2014,115,0
2014,116,0
2014,117,0
2014,118,0
2014,119,0
2014,120,0
2014,121,0
2014,122,0
2014,123,0
2014,124,0
2014,125,0
2014,126,0
2014,127,0
2014,128,0
2014,129,0
2014,130,0
2014,131,0
2014,132,0
2014,133,0
2014,134,0
2014,135,0
2014,136,0
2014,137,0
2014,138,0
2014,139,0
2014,140,0
2014,141,0
2014,142,0
2014,143,0
2014,144,0
2014,145,0
2014,146,0
2014,147,0
2014,148,0
2014,149,0
2014,150,0
2014,151,0
2014,152,23
2014,153,23
2014,154,21
2014,155,1
2014,156,0
2014,157,0
2014,158,0
2014,159,0
2014,160,0
2014,161,0
2014,162,0
2014,163,0
2014,164,0
2014,165,0
2014,166,0
2014,167,0
2015,54,0
2015,55,0
2015,56,0
2015,57,0
2015,58,0
2015,59,0
2015,60,0
2015,61,0
2015,62,0
2015,63,0
2015,64,0
2015,65,0
2015,66,0
2015,67,0
2015,68,0
2015,69,0
2015,70,0
2015,71,0
2015,72,0
2015,73,0
2015,74,21
2015,75,21
2015,76,0
2015,77,0
2015,78,0
2015,79,0
2015,80,0
2015,81,0
2015,82,0
2015,83,0
2015,84,12
2015,85,12
2015,86,12
2015,87,10
2015,88,9
2015,89,9
2015,90,8
2015,91,6
2015,92,5
2015,93,4
2015,94,14
2015,95,1
2015,96,0
2015,97,0
2015,98,0
2015,99,0
2015,100,0
2015,101,0
2015,102,0
2015,103,0
2015,104,0
2015,105,0
2015,106,0
2015,107,0
2015,108,0
2015,109,0
2015,110,0
2015,111,0
2015,112,0
2015,113,0
2015,114,0
2015,115,0
2015,116,0
2015,117,0
2015,118,0
2015,119,0
2015,120,0
2015,121,0
2015,122,0
2015,123,0
2015,124,0
2015,125,0
2015,126,0
2015,127,0
2015,128,0
2015,129,0
2015,130,0
2015,131,0
2015,132,0
2015,133,0
2015,134,0
2015,135,0
2015,136,0
2015,137,0
2015,138,0
2015,139,0
2015,140,0
2015,141,0
2015,142,0
2015,143,0
2015,144,0
2015,145,0
2015,146,0
2015,147,0
2015,148,0
2015,149,0
2015,150,0
2015,151,0
2015,152,38
2015,153,39
2015,154,37
2015,155,36
2015,156,20
2015,157,7
2015,158,0
2015,159,0
2015,160,0
2015,161,0
2015,162,0
2015,163,0
2015,164,0
2015,165,0
2015,166,0
2015,167,0
2016,54,0
2016,55,0
2016,56,0
2016,57,0
2016,58,0
2016,59,0
2016,60,0
2016,61,0
2016,62,0
2016,63,0
2016,64,0
2016,65,0
2016,66,0
2016,67,0
2016,68,0
2016,69,0
2016,70,0
2016,71,0
2016,72,0
2016,73,0
2016,74,65
2016,75,60
2016,76,59
2016,77,57
2016,78,56
2016,79,53
2016,80,53
2016,81,46
2016,82,35
2016,83,27
2016,84,23
2016,85,21
2016,86,20
2016,87,19
2016,88,17
2016,89,16
2016,90,16
2016,91,9
2016,92,5
2016,93,1
2016,94,1
2016,95,0
2016,96,0
2016,97,0
2016,98,0
2016,99,0
2016,100,0
2016,101,0
2016,102,0
2016,103,0
2016,104,0
2016,105,0
2016,106,0
2016,107,0
2016,108,0
2016,109,0
2016,110,0
2016,111,0
2016,112,0
2016,113,0
2016,114,0
2016,115,0
2016,116,0
2016,117,0
2016,118,0
2016,119,0
2016,120,0
2016,121,0
2016,122,0
2016,123,0
2016,124,0
2016,125,0
2016,126,0
2016,127,0
2016,128,0
2016,129,0
2016,130,0
2016,131,0
2016,132,0
2016,133,0
2016,134,0
2016,135,0
2016,136,0
2016,137,0
2016,138,0
2016,139,0
2016,140,0
2016,141,0
2016,142,0
2016,143,0
2016,144,0
2016,145,0
2016,146,0
2016,147,0
2016,148,0
