,Date,URM,LRM,Distance,Year
445,8/14/2007,154,152.5,1.5,2007
446,8/15/2007,155.5,152.5,3,2007
447,8/16/2007,158.5,152.5,6,2007
448,8/17/2007,96.5,90.5,6,2007
449,8/17/2007,158,152.5,5.5,2007
450,8/18/2007,91,90.5,0.5,2007
451,8/18/2007,152.5,152.5,0,2007
452,8/19/2007,89,84,5,2007
453,8/19/2007,161,152.5,8.5,2007
454,8/2/2007,78,74,4,2007
455,8/20/2007,80,74,6,2007
456,8/20/2007,89,84,5,2007
457,8/20/2007,161,152.5,8.5,2007
458,8/21/2007,89.5,74,15.5,2007
459,8/21/2007,152.5,152.5,0,2007
460,8/22/2007,89.5,74,15.5,2007
461,8/22/2007,152.5,152.5,0,2007
462,8/23/2007,90.5,74,16.5,2007
463,8/23/2007,152.5,152.5,0,2007
464,8/24/2007,90.5,74,16.5,2007
465,8/24/2007,158.5,152.5,6,2007
466,8/25/2007,92,74,18,2007
467,8/25/2007,153,152.5,0.5,2007
468,8/26/2007,85.5,76.5,9,2007
469,8/27/2007,86,76.5,9.5,2007
470,8/27/2007,158.5,152.5,6,2007
471,8/28/2007,157,152.5,4.5,2007
472,8/29/2007,91,74,17,2007
473,8/29/2007,152.5,152.5,0,2007
474,8/30/2007,152.5,152.5,0,2007
475,8/31/2007,158.5,152.5,6,2007
476,9/1/2007,155,152.5,2.5,2007
477,9/10/2007,161,152.5,8.5,2007
478,9/11/2007,152.5,152.5,0,2007
479,9/12/2007,152.5,152.5,0,2007
480,9/13/2007,152.5,152.5,0,2007
481,9/14/2007,152.5,152.5,0,2007
482,9/15/2007,152.5,152.5,0,2007
483,9/16/2007,152.5,152.5,0,2007
484,9/17/2007,152.5,152.5,0,2007
485,9/18/2007,161,152.5,8.5,2007
486,9/19/2007,152.5,152.5,0,2007
487,9/2/2007,153,152.5,0.5,2007
488,9/20/2007,90.5,74,16.5,2007
489,9/20/2007,152.5,152.5,0,2007
490,9/29/2007,159.5,152.5,7,2007
491,9/30/2007,160,152.5,7.5,2007
492,9/6/2007,159,152.5,6.5,2007
493,9/7/2007,159.5,152.5,7,2007
494,9/8/2007,160,152.5,7.5,2007
495,9/9/2007,161,152.5,8.5,2007
496,8/13/2008,149.5,149.5,0,2008
497,8/14/2008,149.5,149.5,0,2008
498,8/15/2008,152.5,149.5,3,2008
499,8/16/2008,134,130.5,3.5,2008
500,10/10/2009,78,74.5,3.5,2009
501,10/11/2009,78,74.5,3.5,2009
502,10/12/2009,77,74.5,2.5,2009
503,10/18/2009,78,74.5,3.5,2009
504,10/4/2009,81.5,74.5,7,2009
505,10/5/2009,77,74.5,2.5,2009
506,10/6/2009,77,74.5,2.5,2009
507,10/7/2009,82,74.5,7.5,2009
508,10/8/2009,82,74.5,7.5,2009
509,10/9/2009,78,74.5,3.5,2009
510,7/19/2009,74,74,0,2009
511,7/20/2009,79,74,5,2009
512,7/21/2009,79.5,74,5.5,2009
513,7/22/2009,80,74,6,2009
514,7/23/2009,82,74,8,2009
515,7/24/2009,82,74,8,2009
516,7/25/2009,80,74,6,2009
517,7/26/2009,78.5,74,4.5,2009
518,7/27/2009,77.5,74,3.5,2009
519,7/28/2009,76.5,74,2.5,2009
520,8/10/2009,79,74.5,4.5,2009
521,8/11/2009,74.5,74.5,0,2009
522,8/11/2009,85,85,0,2009
523,8/12/2009,84,74.5,9.5,2009
524,8/13/2009,82.5,74.5,8,2009
525,8/14/2009,83,74.5,8.5,2009
526,8/15/2009,81,74.5,6.5,2009
527,8/16/2009,81,74.5,6.5,2009
528,8/17/2009,80.5,74.5,6,2009
529,8/18/2009,77.5,74.5,3,2009
530,8/21/2009,75,74.5,0.5,2009
531,8/22/2009,90,85,5,2009
532,8/23/2009,81,74.5,6.5,2009
