"Date","URM","LRM","Distance","Year"
"214",2004-09-18,110,74,36,2004
"215",2004-09-18,99.8,74,25.8,2004
"216",2004-09-19,109.1,74,35.1,2004
"217",2004-09-19,99.8,74,25.8,2004
"218",2004-09-20,109.1,74,35.1,2004
"219",2004-09-20,99.8,74,25.8,2004
"220",2004-09-21,109.1,74,35.1,2004
"221",2004-09-21,99.8,74,25.8,2004
"222",2004-09-22,163.8,152.5,11.3,2004
"223",2004-09-22,108.9,74,34.9,2004
"224",2004-09-22,99.8,74,25.8,2004
"225",2004-09-23,164.3,152.5,11.8,2004
"226",2004-09-23,108.9,74,34.9,2004
"227",2004-09-23,99.8,74,25.8,2004
"228",2004-09-24,164.5,152.5,12,2004
"229",2004-09-24,108.9,74,34.9,2004
"230",2004-09-24,99.8,74,25.8,2004
"231",2004-09-25,108.2,74,34.2,2004
"232",2004-09-25,99.8,74,25.8,2004
"233",2004-09-26,164.9,152.5,12.4,2004
"234",2004-09-26,108.2,74,34.2,2004
"235",2004-09-26,99.8,74,25.8,2004
"236",2004-09-27,107.6,74,33.6,2004
"237",2004-09-27,99.8,74,25.8,2004
"238",2004-09-29,99.8,74,25.8,2004
"239",2004-09-03,105.8,74,31.8,2004
"240",2004-09-03,100.1,74,26.1,2004
"241",2004-09-30,107.6,74,33.6,2004
"242",2004-09-30,99.8,74,25.8,2004
"243",2004-09-07,135.4,132,3.4,2004
"244",2004-09-07,106.2,74,32.2,2004
"245",2004-09-07,99,74,25,2004
"246",2004-09-08,163.6,152.5,11.1,2004
"247",2004-09-08,161.4,152.5,8.9,2004
"248",2004-09-08,98.9,74,24.9,2004
"249",2004-09-09,108.9,74,34.9,2004
"250",2004-09-09,98.5,74,24.5,2004
"251",2005-10-30,58.6,57.5,1.1,2005
"252",2005-10-31,72.5,57.5,15,2005
"253",2005-07-23,72.2,57.5,14.7,2005
"254",2005-07-24,76.2,74,2.2,2005
"255",2005-07-26,77.5,74,3.5,2005
"256",2005-07-26,72,57.5,14.5,2005
"257",2005-07-27,77.5,74,3.5,2005
"258",2005-07-28,81.6,74,7.6,2005
"259",2005-07-29,84.4,74,10.4,2005
"260",2005-07-29,83.2,74,9.2,2005
"261",2005-07-30,85.8,74,11.8,2005
"262",2005-07-31,84.8,74,10.8,2005
"263",2005-08-01,84.8,74,10.8,2005
"264",2005-08-01,65,57.5,7.5,2005
"265",2005-08-01,65,57.5,7.5,2005
"266",2005-08-01,64.6,57.5,7.1,2005
"267",2005-08-01,64,57.5,6.5,2005
"268",2005-08-10,92.6,74,18.6,2005
"269",2005-08-10,84.8,74,10.8,2005
"270",2005-08-11,92.1,74,18.1,2005
"271",2005-08-13,75.8,74,1.8,2005
"272",2005-08-14,72.6,57.5,15.1,2005
"273",2005-08-15,69.5,57.5,12,2005
"274",2005-08-16,67.8,57.5,10.3,2005
"275",2005-08-02,91,74,17,2005
"276",2005-08-02,64.9,57.5,7.4,2005
"277",2005-08-24,72.1,57.5,14.6,2005
"278",2005-08-24,71.8,57.5,14.3,2005
"279",2005-08-27,155.3,152.5,2.8,2005
"280",2005-08-27,86.1,74,12.1,2005
"281",2005-08-28,155.9,152.5,3.4,2005
"282",2005-08-28,83,74,9,2005
"283",2005-08-29,83,74,9,2005
"284",2005-08-29,82.9,74,8.9,2005
"285",2005-08-03,91.4,74,17.4,2005
"286",2005-08-03,85.1,74,11.1,2005
"287",2005-08-03,83.2,74,9.2,2005
"288",2005-08-03,64.8,57.5,7.3,2005
"289",2005-08-30,82.1,74,8.1,2005
"290",2005-08-31,81.9,74,7.9,2005
"291",2005-08-04,91.6,74,17.6,2005
"292",2005-08-04,85.3,74,11.3,2005
"293",2005-08-05,92.7,74,18.7,2005
"294",2005-08-06,85.1,74,11.1,2005
"295",2005-08-07,92.4,74,18.4,2005
"296",2005-08-08,91.1,74,17.1,2005
"297",2005-08-09,92.3,74,18.3,2005
"298",2005-08-09,92,74,18,2005
"299",2005-09-01,81.9,74,7.9,2005
"300",2005-09-14,80,74,6,2005
"301",2005-09-15,90.6,74,16.6,2005
"302",2005-09-15,85.1,74,11.1,2005
"303",2005-09-16,90,74,16,2005
"304",2005-09-16,87.7,74,13.7,2005
"305",2005-09-16,84.2,74,10.2,2005
"306",2005-09-17,90.9,74,16.9,2005
"307",2005-09-17,85.1,74,11.1,2005
"308",2005-09-18,91.1,74,17.1,2005
"309",2005-09-18,84.6,74,10.6,2005
"310",2005-09-19,90.9,74,16.9,2005
"311",2005-09-19,84.4,74,10.4,2005
"312",2005-09-02,81.9,74,7.9,2005
"313",2005-09-20,91.2,74,17.2,2005
"314",2005-09-20,84.3,74,10.3,2005
"315",2005-09-21,93.5,74,19.5,2005
"316",2005-09-23,84.6,74,10.6,2005
"317",2005-09-24,152.5,152.5,0,2005
"318",2005-09-24,94.5,74,20.5,2005
"319",2005-09-24,84.4,74,10.4,2005
"320",2005-09-26,94.4,74,20.4,2005
"321",2005-09-26,84.3,74,10.3,2005
"322",2005-09-27,94.6,74,20.6,2005
"323",2005-09-27,84.3,74,10.3,2005
"324",2005-09-27,68.6,57.5,11.1,2005
"325",2005-09-28,95.9,74,21.9,2005
